Időbélyeg;Jelige (nem kötelező, csak ha szeretnél visszajelzést kapni);HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY VERSENY ELŐTT VAGY ALATT... [1. … nagyobb figyelmet fordíts az előkészületekre (pl. “Figyelsz arra, hogy kipihenten érkezz a versenyre, jól bemelegítesz, összekészíted a csocsós cuccaid,, )];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY VERSENY ELŐTT VAGY ALATT... [2. …olyan dolgokat csinálj, amik ahhoz kellenek, hogy fejben rá tudj hangolódni a meccsekre? (pl. ,,Megcsinálod a meccs előtti rutinjaid” stb.)];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY VERSENY ELŐTT VAGY ALATT... [3. … pozitív gondolatok járjanak a fejedben? (pl.„Átad belő”, „Megcsináljuk ezt a szettet”)];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY VERSENY ELŐTT VAGY ALATT... [4. … észre vedd a negatív gondolatokat és ki tudd zárni őket ? (pl.„Csak ez a labda legyen meg valahogy” „Ezt a szettet megkellett volna nyernünk” „Ellene sosem megy jól a játék”stb.)];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY VERSENY ELŐTT VAGY ALATT... [5. …visszanyerd az önbizalmad nehéz helyzetekben? (pl. „Amikor az ellenfél dominálja a meccset” „Amikor többször hibázol egymás után.” stb.)];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY VERSENY ELŐTT VAGY ALATT... [6. … kizárd a tőled független zavaró tényezőket? (pl. „Kapsz egy shitet”, „Az ellenfél faultol”, „A bíró igazságtalan döntést hoz.” , ,,Hangosan mondják be a meccseket”,”Hogy teljesít az ellenfél.”stb.)];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY VERSENY ELŐTT VAGY ALATT... [7. … kizárd a magánéletből hozott zavaró tényezőket? (pl. ,,Családi, párkapcsolati, munkahelyi, egészségügyi problémák” stb.)];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY VERSENY ELŐTT VAGY ALATT... [8. … kizárd azt, hogy mások mit fognak szólni a teljesítményedhez? (pl. ,,A nézők, az ellenfelek, a csapattársad.”stb.)];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY VERSENY ELŐTT VAGY ALATT... [9. … önkontrollt tudj gyakorolni a számodra kellemetlen helyzetekben (pl. Ha szétlőnek/szétpasszolnak, akkor sem mutatod ki, hogy bajban vagy. ,,Fenntartod a látszatot, hogy erős vagy.” ,,Nem látszik rajtad, hogyha az ellenfél játéka zavar/ nem fekszik.” stb.)];Megjegyzések/visszajelzések erre a szakaszra vonatkozólag: ;  Kérdések sorszáma, amik nem voltak egyértelműek (ha volt ilyen): ;HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY KÖZVETLENÜL MECCS ELŐTT VAGY ALATT...  [10. … ne add fel, végig küzdeni tudj a meccsen egy-egy nehéz szituáció ellenére is? (pl. ,,Nagyon elmegy az ellenfél”, ,,Bekapsz több shitet egymás után”, ,,Érzed, hogy nem megy a játék.” stb.)];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY KÖZVETLENÜL MECCS ELŐTT VAGY ALATT...  [11. … tökéletesen kihasználd az adódó lehetőségeket (pl. Megbecsülöd amikor nálad van a labda” „Minden labda fontos” stb.)];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY KÖZVETLENÜL MECCS ELŐTT VAGY ALATT...  [12. … merj a komfortzónádon kívüli döntést hozni (pl. ,,Egy kevésbé stabil lövést passzt vagy védekezést is elvállalsz, hogyha tudod, hogy arra van szükség.” stb.)];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY KÖZVETLENÜL MECCS ELŐTT VAGY ALATT...  [13. … tudd kezelni a számodra kellemetlen érzéseket? (pl. ,,Túlzott izgalom” , ,,Kikapástól való félelem” ,, Düh (idegesítő ellenfél, helyzet miatt)” ,,Önhibáztatás”stb.)];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY KÖZVETLENÜL MECCS ELŐTT VAGY ALATT...  [14. … azonosítani tudd és reagálj az ellenfél gyengeségeire, ahogy a játék fejlődik/előrehalad? (pl. ,,Többször kihasználsz egy védelmi hibát” ,,Kedvenc lövéseit/passzait tudatosan elveszed, azokat csalizod” stb.)];  Kérdések sorszáma, amik nem voltak egyértelműek (ha volt ilyen): ;Megjegyzések/visszajelzések az eddigi kérdésekre vonatkozólag: ;HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY VERSENY KÖZBEN... [15. … támogasd a csapattársad teljesítményét és erőfeszítéseit. (pl. ,,Amikor hibázik, akkor is tudsz neki támogatást nyújtani”, ,,Őszintén megdicséred az erőfeszítéseit”).];"HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY VERSENY KÖZBEN... [16. … taktikai megbeszélést tarts a csapattársaddal, amikor erre van szükség (pl. ,, Beszéltek meccs előtt vagy szettek között"",,Kikéritek az időt és átbeszélitek a dolgokat"")]";HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY VERSENY KÖZBEN... [17. …tudd , hogy pörögj fel mentálisan egy hosszabb szünet után is. (pl. “Zenét hallgatsz, lősz egy-két durvát stb.)];"HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY KÖZVETLENÜL MECCSEK VAGY VERSENY UTÁN...  [18. … ki tudd választani a pozitív elemeket, amelyek a versenyzés során hasznosak voltak és előrevittek? (pl. Gyorsan felismerted, hogy váltott a védekezés"" , „Jókor és jól változtattad a támadó játékod.”stb.)]";HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY KÖZVETLENÜL MECCSEK VAGY VERSENY UTÁN...  [19. … megbeszéld a verseny közben történteket egy hitelesnek gondolt személlyel? (pl. ,,Mik voltak a jó és rossz döntések, min kell változtatni legközelebb ugyanazt éltétek-e meg a meccsen stb.)];HASZNOS LENNE FEJLŐDNÖD ABBAN, HOGY KÖZVETLENÜL MECCSEK VAGY VERSENY UTÁN...  [20. … összegyűjtsd a mentálisan fejlesztendő területeket? (pl. „Mivel érdemes majd mentális felkészülésednél többet foglalkozni.”)];Megjegyzések/visszajelzések az eddigi kérdésekre vonatkozólag: ;Kérdések sorszáma, amik nem voltak egyértelműek (ha volt ilyen): ;A kérdések alapján, volt olyan mentális terület, aminek a fejlesztéséhez akár segítséget is kérnél;Nem ;Életkor (évben megadva);Mióta veszel részt magyar vagy nemzetközi versenyeken (évben megadva);Aktuális besorolásod (nyílt páros ranglista alapján)
3.23.2021 21:01:22;Nip;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;;;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;;;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;;;Igen;Férfi;29;10;Semi-pro
3.23.2021 21:07:56;Nagyderka;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;;;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;;;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;;;Igen;Férfi;20;4;Semi-pro
3.23.2021 21:13:56;Jackal;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;A kilenceshez, szerintem én ezt be tudom szigorúan is tartani, valamiért mégsem csinálom.;;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;;;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;;;Igen;Férfi;39;2003-2007, 2020;Rookie
3.23.2021 21:15:17;Csocsóka;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;1. Biztos nem kell fejleszteni;4. Valószínűleg fejlesztésre szorul;;;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;;;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;;;Igen;Férfi;30;2014;Semi-pro
3.23.2021 21:24:47;;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;;;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;;;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;;;Igen;Nő;30;5;Rookie
3.23.2021 21:28:01;;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;;;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;;;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;;;Igen;Férfi;30;10+;Rookie
3.23.2021 21:34:59;Csocsi;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;;;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;;;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;;;Igen;Nő;36;16;Rookie
3.23.2021 21:42:15;;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;4. Valószínűleg fejlesztésre szorul;;;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;5. Biztosan fejlesztés re szorul;;;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;;;Igen;Férfi;27;7;Rookie
3.23.2021 23:04:53;;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;A kérdések erősek és reális képet állítanak a játékos elé. Mindenképpen szeretnék még látni ilyen kérdéssorozatot a jövőben. Nekem sokat segített.;;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;;;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;;;Igen;Férfi;2001;2019-ben volt az első versenyem, májusban, Szolnokon;Semi-pro
3.23.2021 23:25:27;Domingó;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;;;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;;;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;;;Igen;Férfi;25;4;Semi-pro
3.24.2021 6:48:24;;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;;;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;;;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;;;Nem;Férfi;1997;2016;Rookie
3.24.2021 8:05:16;ksnbszm;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;Eddig nagyon jó :);;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;;;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;;;Igen;Férfi;34;14;Semi-pro
3.24.2021 8:45:03;tralala;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;;;1. Biztos nem kell fejleszteni;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;;;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;;;Igen;Férfi;32;5;Rookie
3.24.2021 8:53:55;Ninja;1. Biztos nem kell fejleszteni;4. Valószínűleg fejlesztésre szorul;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;1. Biztos nem kell fejleszteni;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;;;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;;;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;;;Igen;Férfi;35;2006 - 2013 <szünet> 2020 - ***;Semi-pro
3.24.2021 10:01:08;;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;5. Biztosan fejlesztés re szorul;;;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;;;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;;;Igen;Férfi;30;14;Semi-pro
3.24.2021 10:31:46;Földi Nóra ;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;;;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;;;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;;;Igen;Nő;1994;2010;Semi-pro
3.24.2021 10:55:00;DP;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;"Sajnos nyelvtannáci vagyok:

2. kérdés: rátudj helyett rá tudj
6. kérdés:
vagy sitt (építési törmelék), és akkor sittet
vagy shit (szar), és akkor shitet

Hogy pontosan melyik is a szó eredete, nem tudom, de a shittet biztosan helytelen írásmód";Több kérdésre is inkább a soha, néha, sokszor, mindig vonalon lehetne válaszolni.;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;1. Biztos nem kell fejleszteni;;Itt is a shittet a 10-es kérdésben;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;1. Biztos nem kell fejleszteni;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;;;Nem;Férfi;43;2002;Semi-pro
3.24.2021 13:54:24;Leghosszabb interjúd női fele:);1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;;;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;;;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;1. Biztos nem kell fejleszteni;3. Valamelyest fejlesztésre szorulhat;;;Igen;Nő;36;4;Semi-pro
3.24.2021 14:41:30;selfcheck;5. Biztosan fejlesztés re szorul;2. Talán fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;Ha nem fontos számodra ez a kérdés jelöld ebbe az oszlopba;;;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;;;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;;;Nem;Férfi;31;10;Pro/Master
3.24.2021 15:19:57;;5. Biztosan fejlesztés re szorul;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;;;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;;;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;4. Valószínűleg fejlesztésre szorul;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;;;Igen;Férfi;38;19;Semi-pro
3.24.2021 17:14:29;;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;Ha nem fontos számodra ez a kérdés jelöld ebbe az oszlopba;;;4. Valószínűleg fejlesztésre szorul;5. Biztosan fejlesztés re szorul;3. Valamelyest fejlesztésre szorulhat;Ha nem fontos számodra ez a kérdés jelöld ebbe az oszlopba;2. Talán fejlesztésre szorul;;;2. Talán fejlesztésre szorul;1. Biztos nem kell fejleszteni;2. Talán fejlesztésre szorul;2. Talán fejlesztésre szorul;3. Valamelyest fejlesztésre szorulhat;3. Valamelyest fejlesztésre szorulhat;;;Nem;Férfi;40;20;Semi-pro
